,level_0,index,MONTH,POINTS,DAILY_DIFF,TEMP_C,LONGITUDE,LATITUDE,DEPTH,RCLASS,COORDS
25,25,738,9,-175.815877_27.853937,0.5211000000000006,27.566423228454234,-175.815877,27.853937,0.3,Inner Reef Flat,POINT (-175.815877 27.853937)
26,26,710,9,-166.291743_23.87565,0.5562000000000005,27.761101751824828,-166.291743,23.87565,6.4,Reef Slope,POINT (-166.291743 23.87565)
27,27,702,9,-166.219679_23.866099,0.9681999999999995,27.8709139826423,-166.219679,23.866099,2.9,Deep Lagoon,POINT (-166.219679 23.866099)
28,28,694,9,-166.120261_23.830209,0.6563000000000017,27.711517372027398,-166.120261,23.830209,5.2,Reef Slope,POINT (-166.120261 23.830209)
29,29,700,9,-166.17971_23.640981,0.6899000000000015,27.73804219653183,-166.17971,23.640981,6.4,Inner Reef Flat,POINT (-166.17971 23.640981)
30,30,707,9,-166.261335_23.76894,0.37450000000000117,28.19617885906045,-166.261335,23.76894,4.4,Deep Lagoon,POINT (-166.261335 23.76894)
31,31,705,9,-166.253744_23.79245,0.18909999999999982,28.229190376984125,-166.253744,23.79245,13.3,Deep Lagoon,POINT (-166.253744 23.79245)
32,32,704,9,-166.233218_23.791847,0.32979999999999876,28.25589248610777,-166.233218,23.791847,4.8,Deep Lagoon,POINT (-166.233218 23.791847)
33,33,698,9,-166.167496_23.738137,0.8067999999999991,28.248166739819492,-166.167496,23.738137,2.7,Inner Reef Flat,POINT (-166.167496 23.738137)
34,34,696,9,-166.121221_23.827943,0.7759999999999998,27.786341145440787,-166.121221,23.827943,1.7,Inner Reef Flat,POINT (-166.121221 23.827943)
35,35,693,9,-159.525493_21.882239,0.6392000000000007,27.691467685185135,-159.525493,21.882239,5.3,Reef Slope,POINT (-159.525493 21.882239)
36,36,756,9,-178.345427_28.450545,0.5888000000000009,27.58677407407412,-178.345427,28.450545,4.8,Reef Crest,POINT (-178.345427 28.450545)
37,37,752,9,-178.306228_28.447616,0.8250999999999991,27.59638432870375,-178.306228,28.447616,0.9,Inner Reef Flat,POINT (-178.306228 28.447616)
38,38,758,9,-178.368313_28.429354,1.1234000000000002,27.66030129629627,-178.368313,28.429354,0.9,Outer Reef Flat,POINT (-178.368313 28.429354)
39,39,730,9,-173.997_26.078412,0.3465000000000025,28.486205268840354,-173.997,26.078412,14.4,Reef Slope,POINT (-173.997 26.078412)
40,40,640,8,-173.984726_26.078693,0.5535499999999995,28.760246471774245,-173.984726,26.078693,4.3,Inner Reef Flat,POINT (-173.984726 26.078693)
41,41,720,9,-173.918044_26.037185,0.4356999999999971,28.70293423592499,-173.918044,26.037185,4.8,Deep Lagoon,POINT (-173.918044 26.037185)
42,42,716,9,-173.896129_25.957118,0.3680999999999983,28.504599620904433,-173.896129,25.957118,5.6,Reef Slope,POINT (-173.896129 25.957118)
43,43,719,9,-173.915914_25.967723,0.3912000000000013,28.534190868596855,-173.915914,25.967723,9.9,Deep Lagoon,POINT (-173.915914 25.967723)
44,44,727,9,-173.994404_25.987026,0.4532999999999987,28.524555483170555,-173.994404,25.987026,14.6,Deep Lagoon,POINT (-173.994404 25.987026)
45,45,723,9,-173.966005_25.987902,0.43090000000000117,28.76040472548483,-173.966005,25.987902,4.8,Deep Lagoon,POINT (-173.966005 25.987902)
46,46,682,9,-156.691816_20.951831,0.7860999999999994,28.03919340277774,-156.691816,20.951831,5.1,Reef Slope,POINT (-156.691816 20.951831)
47,47,680,9,-156.687715_20.960188,0.7154500000000006,28.057009583333294,-156.687715,20.960188,5.1,Reef Slope,POINT (-156.687715 20.960188)
48,48,686,9,-157.788058_21.473614,0.7260999999999989,27.870284097222243,-157.788058,21.473614,5.5,Plateau,POINT (-157.788058 21.473614)
49,49,689,9,-157.863772_21.28991,0.550749999999999,28.162013402777756,-157.863772,21.28991,5.3,Outer Reef Flat,POINT (-157.863772 21.28991)
50,50,690,9,-158.11838_21.309493,0.6728000000000023,28.050582056510354,-158.11838,21.309493,5.2,Plateau,POINT (-158.11838 21.309493)
51,51,741,9,-175.863494_27.937653,0.6785999999999994,27.668932458697657,-175.863494,27.937653,5.9,Reef Slope,POINT (-175.863494 27.937653)
52,52,735,9,-175.780821_27.957634,1.3427499999999988,27.808916921296223,-175.780821,27.957634,0.9,Inner Reef Flat,POINT (-175.780821 27.957634)
53,53,733,9,-175.779407_27.802641,0.6849000000000007,27.73434409722225,-175.779407,27.802641,1.7,Deep Lagoon,POINT (-175.779407 27.802641)
54,54,743,9,-175.883064_27.783312,0.6965000000000003,27.46940700000006,-175.883064,27.783312,5.2,Plateau,POINT (-175.883064 27.783312)
55,55,747,9,-175.97871_27.774732,0.6968999999999994,27.707738767342587,-175.97871,27.774732,1.3,Outer Reef Flat,POINT (-175.97871 27.774732)
56,56,749,9,-175.991585_27.792347,0.641099999999998,27.630020056101028,-175.991585,27.792347,4.9,Inner Reef Flat,POINT (-175.991585 27.792347)
57,57,711,9,-166.291758_23.875637,0.4822999999999986,27.47764336801043,-166.291758,23.875637,6.4,Reef Slope,POINT (-166.291758 23.875637)
58,58,695,9,-166.120273_23.830236,0.5384999999999991,27.44747659105226,-166.120273,23.830236,4.6,Reef Slope,POINT (-166.120273 23.830236)
59,59,706,9,-166.261325_23.768914,0.3573999999999984,27.861128530328536,-166.261325,23.768914,4.6,Deep Lagoon,POINT (-166.261325 23.768914)
60,60,692,9,-159.525489_21.882228,0.6602500000000013,27.271343842592643,-159.525489,21.882228,5.5,Reef Slope,POINT (-159.525489 21.882228)
61,61,757,9,-178.345457_28.450547,0.4277000000000015,27.23915441098782,-178.345457,28.450547,4.5,Reef Slope,POINT (-178.345457 28.450547)
62,62,750,9,-178.306219_28.44761,0.6473000000000013,27.2050351793249,-178.306219,28.44761,1.1,Inner Reef Flat,POINT (-178.306219 28.44761)
63,63,753,9,-178.339316_28.387194,0.5151000000000003,27.18911574122579,-178.339316,28.387194,4.6,Reef Slope,POINT (-178.339316 28.387194)
64,64,754,9,-178.339344_28.387152,0.5683500000000006,27.626532847222173,-178.339344,28.387152,4.6,Reef Slope,POINT (-178.339344 28.387152)
65,65,677,8,-178.374395_28.41282,0.941200000000002,27.487317540322586,-178.374395,28.41282,5.0,Back Reef Slope,POINT (-178.374395 28.41282)
66,66,675,8,-178.36835_28.429355,1.2286000000000001,27.425739314516104,-178.36835,28.429355,0.9,Outer Reef Flat,POINT (-178.36835 28.429355)
67,67,729,9,-173.997025_26.078394,0.2919000000000018,27.971608140556327,-173.997025,26.078394,14.4,Reef Slope,POINT (-173.997025 26.078394)
68,68,721,9,-173.918142_26.037074,0.4390999999999998,28.042765605095514,-173.918142,26.037074,4.6,Deep Lagoon,POINT (-173.918142 26.037074)
69,69,715,9,-173.896108_25.957138,0.33459999999999823,27.933193537820078,-173.896108,25.957138,5.8,Reef Slope,POINT (-173.896108 25.957138)
70,70,717,9,-173.915855_25.96765,0.3410000000000011,27.99081876790832,-173.915855,25.96765,10.0,Deep Lagoon,POINT (-173.915855 25.96765)
71,71,726,9,-173.994389_25.987086,0.383300000000002,27.954586100386095,-173.994389,25.987086,14.6,Deep Lagoon,POINT (-173.994389 25.987086)
72,72,638,8,-173.965987_25.987879,0.4858000000000011,28.137484274193532,-173.965987,25.987879,4.6,Deep Lagoon,POINT (-173.965987 25.987879)
73,73,683,9,-156.691838_20.951829,0.8178999999999998,27.54469315972222,-156.691838,20.951829,5.8,Reef Slope,POINT (-156.691838 20.951829)
74,74,681,9,-156.687743_20.960181,0.6635500000000008,27.595816805555614,-156.687743,20.960181,6.1,Reef Slope,POINT (-156.687743 20.960181)
75,75,685,9,-157.788041_21.473586,0.49650000000000283,27.157375138888874,-157.788041,21.473586,5.5,Plateau,POINT (-157.788041 21.473586)
76,76,687,9,-157.798648_21.458624,1.1227,27.57565180555558,-157.798648,21.458624,2.15,Outer Reef Flat,POINT (-157.798648 21.458624)
77,77,688,9,-157.863761_21.289917,0.4740500000000001,27.464594548611128,-157.863761,21.289917,5.3,Outer Reef Flat,POINT (-157.863761 21.289917)
78,78,656,8,-175.863486_27.937641,0.7016999999999989,27.24421610663081,-175.863486,27.937641,6.1,Reef Slope,POINT (-175.863486 27.937641)
79,79,652,8,-175.780824_27.95768,1.5901999999999994,27.399910797490993,-175.780824,27.95768,0.9,Inner Reef Flat,POINT (-175.780824 27.95768)
80,80,731,9,-175.734908_27.868921,0.6518000000000015,26.822067106625287,-175.734908,27.868921,4.6,Reef Slope,POINT (-175.734908 27.868921)
81,81,658,8,-175.883062_27.783337,0.5027500000000007,26.841865238095203,-175.883062,27.783337,4.6,Plateau,POINT (-175.883062 27.783337)
82,82,661,8,-175.978696_27.774736,0.8565000000000005,27.25666807795699,-175.978696,27.774736,0.9,Outer Reef Flat,POINT (-175.978696 27.774736)
83,83,664,8,-175.991578_27.792318,0.7393999999999998,27.369601657706056,-175.991578,27.792318,5.0,Inner Reef Flat,POINT (-175.991578 27.792318)
84,84,796,10,-169.546705_16.73276,0.6917000000000009,28.00664955197135,-169.546705,16.73276,1.2,Inner Reef Flat,POINT (-169.546705 16.73276)
